groupN,testimgN,lightprobeN,objN,viewPointN,specularity,Pellacini_c,hue,chroma,filename_OpenEXR,filename_png
44,67,1,1,1,0.0148126555157162,0.029156862745098,148,22,img_lp1_objN1_vp1HEfalse.exr,group44_img67.png
50,7,1,1,2,0.0823192981694573,0.128290196078431,124,14,img_lp1_objN1_vp2HEfalse.exr,group50_img7.png
7,38,1,1,3,0.075202571163633,0.119543137254902,8,20,img_lp1_objN1_vp3HEfalse.exr,group7_img38.png
50,37,1,2,1,0.00279583374681835,0.00583137254901961,348,14,img_lp1_objN2_vp1HEfalse.exr,group50_img37.png
35,6,1,2,2,0.0616762779845063,0.102049019607843,60,24,img_lp1_objN2_vp2HEfalse.exr,group35_img6.png
5,65,1,2,3,0.0683229029284172,0.110796078431373,112,20,img_lp1_objN2_vp3HEfalse.exr,group5_img65.png
15,34,1,3,1,0.023024544367896,0.0437352941176471,100,22,img_lp1_objN3_vp1HEfalse.exr,group15_img34.png
30,17,1,3,2,0.00422448584944354,0.00874705882352941,44,8,img_lp1_objN3_vp2HEfalse.exr,group30_img17.png
52,56,1,3,3,0.0616762779845063,0.102049019607843,204,10,img_lp1_objN3_vp3HEfalse.exr,group52_img56.png
53,17,1,4,1,0.0511055374852489,0.0874705882352941,148,8,img_lp1_objN4_vp1HEfalse.exr,group53_img17.png
9,8,1,4,2,0.0896770994251935,0.137037254901961,324,10,img_lp1_objN4_vp2HEfalse.exr,group9_img8.png
53,28,1,4,3,0.0282201651741961,0.0524823529411765,124,22,img_lp1_objN4_vp3HEfalse.exr,group53_img28.png
52,53,1,5,1,0.00863516773165145,0.0174941176470588,96,24,img_lp1_objN5_vp1HEfalse.exr,group52_img53.png
26,41,1,5,2,0.0490660960533854,0.0845549019607843,340,16,img_lp1_objN5_vp2HEfalse.exr,group26_img41.png
44,7,1,5,3,0.087197465109754,0.134121568627451,0,20,img_lp1_objN5_vp3HEfalse.exr,group44_img7.png
8,23,1,6,1,0.0101474659553504,0.0204098039215686,224,8,img_lp1_objN6_vp1HEfalse.exr,group8_img23.png
23,5,1,6,2,0.0638661738025355,0.104964705882353,332,20,img_lp1_objN6_vp2HEfalse.exr,group23_img5.png
50,45,1,6,3,0.0450607300860009,0.0787235294117647,44,8,img_lp1_objN6_vp3HEfalse.exr,group50_img45.png
43,52,1,7,1,0.0490660960533854,0.0845549019607843,196,24,img_lp1_objN7_vp1HEfalse.exr,group43_img52.png
52,66,1,7,2,0.0683229029284172,0.110796078431373,4,24,img_lp1_objN7_vp2HEfalse.exr,group52_img66.png
36,27,1,7,3,0.0180311815115742,0.0349882352941176,200,10,img_lp1_objN7_vp3HEfalse.exr,group36_img27.png
2,41,1,8,1,0.01641097940378,0.0320725490196078,256,18,img_lp1_objN8_vp1HEfalse.exr,group2_img41.png
46,67,1,8,2,0.0180311815115742,0.0349882352941176,88,22,img_lp1_objN8_vp2HEfalse.exr,group46_img67.png
51,36,1,8,3,0.0411523951707018,0.0728921568627451,176,20,img_lp1_objN8_vp3HEfalse.exr,group51_img36.png
37,34,1,9,1,0.0470512098274547,0.0816392156862745,216,18,img_lp1_objN9_vp1HEfalse.exr,group37_img34.png
42,5,1,9,2,0.01641097940378,0.0320725490196078,268,20,img_lp1_objN9_vp2HEfalse.exr,group42_img5.png
41,8,1,9,3,0.0450607300860009,0.0787235294117647,268,8,img_lp1_objN9_vp3HEfalse.exr,group41_img8.png
21,25,1,10,1,0.0896770994251935,0.137037254901961,332,12,img_lp1_objN10_vp1HEfalse.exr,group21_img25.png
36,22,1,10,2,0.087197465109754,0.134121568627451,4,12,img_lp1_objN10_vp2HEfalse.exr,group36_img22.png
9,58,1,10,3,0.087197465109754,0.134121568627451,228,14,img_lp1_objN10_vp3HEfalse.exr,group9_img58.png
39,7,1,11,1,0.00279583374681835,0.00583137254901961,140,26,img_lp1_objN11_vp1HEfalse.exr,group39_img7.png
2,23,1,11,2,0.075202571163633,0.119543137254902,340,24,img_lp1_objN11_vp2HEfalse.exr,group2_img23.png
15,28,1,11,3,0.0373399015358427,0.0670607843137255,124,26,img_lp1_objN11_vp3HEfalse.exr,group15_img28.png
2,69,1,12,1,0.0511055374852489,0.0874705882352941,196,22,img_lp1_objN12_vp1HEfalse.exr,group2_img69.png
5,63,1,12,2,0.0728832068504343,0.116627450980392,156,24,img_lp1_objN12_vp2HEfalse.exr,group5_img63.png
45,30,1,12,3,0.0947182133539334,0.14286862745098,220,8,img_lp1_objN12_vp3HEfalse.exr,group45_img30.png
38,28,1,13,1,0.023024544367896,0.0437352941176471,132,26,img_lp1_objN13_vp1HEfalse.exr,group38_img28.png
17,23,1,13,2,0.0264655705974502,0.0495666666666667,208,22,img_lp1_objN13_vp2HEfalse.exr,group17_img23.png
52,21,1,13,3,0.0552586808525969,0.0933019607843137,240,16,img_lp1_objN13_vp3HEfalse.exr,group52_img21.png
2,33,1,14,1,0.0728832068504343,0.116627450980392,152,26,img_lp1_objN14_vp1HEfalse.exr,group2_img33.png
24,11,1,14,2,0.0450607300860009,0.0787235294117647,316,26,img_lp1_objN14_vp2HEfalse.exr,group24_img11.png
20,55,1,14,3,0.0392342425539451,0.0699764705882353,288,18,img_lp1_objN14_vp3HEfalse.exr,group20_img55.png
42,32,1,15,1,0.075202571163633,0.119543137254902,120,8,img_lp1_objN15_vp1HEfalse.exr,group42_img32.png
43,60,1,15,2,0.0180311815115742,0.0349882352941176,312,20,img_lp1_objN15_vp2HEfalse.exr,group43_img60.png
10,44,1,15,3,0.0148126555157162,0.029156862745098,212,14,img_lp1_objN15_vp3HEfalse.exr,group10_img44.png
26,62,1,16,1,0.0531696828445008,0.0903862745098039,176,22,img_lp1_objN16_vp1HEfalse.exr,group26_img62.png
24,39,1,16,2,0.0470512098274547,0.0816392156862745,84,10,img_lp1_objN16_vp2HEfalse.exr,group24_img39.png
35,54,1,16,3,0.00279583374681835,0.00583137254901961,232,10,img_lp1_objN16_vp3HEfalse.exr,group35_img54.png
39,21,1,17,1,0.0775482753402326,0.122458823529412,116,24,img_lp1_objN17_vp1HEfalse.exr,group39_img21.png
41,65,1,17,2,0.00279583374681835,0.00583137254901961,304,8,img_lp1_objN17_vp2HEfalse.exr,group41_img65.png
15,26,1,17,3,0.0728832068504343,0.116627450980392,276,22,img_lp1_objN17_vp3HEfalse.exr,group15_img26.png
37,40,1,18,1,0.0470512098274547,0.0816392156862745,160,22,img_lp1_objN18_vp1HEfalse.exr,group37_img40.png
36,21,1,18,2,0.0282201651741961,0.0524823529411765,348,20,img_lp1_objN18_vp2HEfalse.exr,group36_img21.png
9,22,1,18,3,0.0616762779845063,0.102049019607843,8,10,img_lp1_objN18_vp3HEfalse.exr,group9_img22.png
6,71,1,19,1,0.0196734105605545,0.0379039215686275,248,10,img_lp1_objN19_vp1HEfalse.exr,group6_img71.png
27,26,1,19,2,0.0728832068504343,0.116627450980392,92,22,img_lp1_objN19_vp2HEfalse.exr,group27_img26.png
52,68,1,19,3,0.0430945081075686,0.0758078431372549,104,8,img_lp1_objN19_vp3HEfalse.exr,group52_img68.png
